общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
54,34,9,1/7,3,1960,Автово,5,45000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,?,1,1,1,1,?,?,?,1,Кирпичное здание,9,1,1,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7567099462900454919/;
20,?,?,3/5,"3,3",1833,Сенная Площадь,5,30000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,?,1,1,?,1,?,1,?,1,Кирпично-монолитное здание,?,?,?,1,36,1,1,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4628782999802058515/;
52,36,12,5/5,?,1899,Площадь Восстания,9,80000,2-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,2,?,?,1,?,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4321554176007021825/;
15,8,?,1/2,"2,9",1917,Чернышевская,7,26000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,12,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6623463218634573825/;
36,?,?,3/8,3,2023,Пушкинская,6,87500,1-комнатные апартаменты,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,1,1,Застройщик СК Новая линия,?,Кирпично-монолитное здание,?,1,?,1,?,?,1,?,?,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/461365290119309216/;
42,28,8,8/10,"2,6",1995,Проспект Просвещения,7,26000,1-комнатная квартира,Отделка — требуется ремонт,раздельный,1,1,1,?,1,1,1,?,1,?,1,Панельное здание,11,1,1,1,437,1,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/239726495219147776/;
36,22,10,8/26,"2,65",2021,Пролетарская,8,38000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,1,Застройщик ИПС,1,Монолитное здание,?,1,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2397997123503048448/;
30,?,?,26/29,"2,7",2022,Купчино,5,36000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3468317420333125120/;
40,?,12,12/19,"2,8",2010,Пролетарская,5,36000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,1,?,1,1,1,1,1,?,?,Застройщик БПСК,1,Монолитное здание,5,1,1,?,?,1,?,?,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/9142176083965435905/;
50,35,14,7/17,"26,5",2012,Московская,8,60000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,?,1,1,1,1,?,?,Застройщик Л1 cтроительная компания №1,?,?,?,1,?,?,?,?,?,?,1,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8045080823831556609/;
55,?,?,4/7,3,1958,Парк Победы,9,71500,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,8,1,?,1,179,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1714102785531958273/;
70,?,?,2/5,"3,5",1897,Василеостровская,9,99000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,8,?,?,1,51,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1949233733917236224/;
15,14,?,2/3,2,2020,Невский проспект,9,39000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,?,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6857595493322486272/;
38,?,12,5/10,?,2023,Ломоносовская,9,55000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923536508059/;
25,?,?,5/13,"2,7",2021,Фрунзенская,8,55000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,Застройщик RBI,1,Монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,1,?,?,?,?,?,1,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/4265760404442200320/;
48,20,8,3/7,3,1957,Парк Победы,8,40000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,1,?,?,Кирпичное здание,5,1,?,1,45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6929687159741270273/;
24,21,?,16/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259142190/;
55,34,6,2/5,?,1959,Елизаровская,6,75000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,1,1,?,?,Кирпичное здание,4,?,?,1,80,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8299957541184137571/;
19,13,?,10/18,"2,5",2023,Бухарестская,4,35000,апартаменты-студия,?,?,?,?,1,1,1,?,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337524/;
21,?,?,2/5,?,1882,Лиговский Проспект,4,25000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,1,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7057104532689014529/;
55,35,10,4/10,3,1956,Московская,1,60000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,?,1,1,?,1,?,1,Кирпичное здание,6,1,?,1,?,1,1,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7602792530763573576/;
9,?,?,1/4,3,1917,Обводный канал,10,27000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,4,?,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3692702818352486912/;
112,55,27,4/4,"3,35",1907,Звенигородская,7,85000,3-комнатная квартира,Отделка — евроремонт,?,?,1,1,1,1,1,1,1,1,?,1,Кирпичное здание,9,?,?,1,?,1,?,?,?,?,1,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5947986547216423936/;
12,9,?,1/4,?,1917,Василеостровская,8,27000,апартаменты-студия,Отделка — косметический ремонт,совмещённый,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,?,1,?,1,46,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3990772807519733390/;
21,15,?,7/10,?,2020,Лиговский Проспект,8,54790,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик ГК «Пионер»,1,?,?,1,1,?,?,?,?,?,1,?,1,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4655407189713231360/;
28,?,?,3/27,"2,6",2023,Парнас,10,31000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,?,Застройщик П1,1,Монолитное здание,?,1,?,1,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6615481302302467662/;
31,?,?,4/11,"2,7",2020,Московские ворота,5,44000,апартаменты-студия,Отделка — дизайнерский ремонт,?,?,1,1,1,1,1,1,?,1,Застройщик ГК Полис,1,Монолитное здание,?,1,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3424820074817598464/;
15,?,?,1/5,3,1885,Технологический институт,4,25999,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,?,Кирпичное здание,?,1,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6608356457454633216/;
18,13,5,1/6,"3,8",1902,Маяковская,1,40000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,?,1,1,1,1,?,1,?,1,Кирпичное здание,5,1,?,1,?,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672993959847/;
33,15,5,2/4,"3,6",1916,Адмиралтейская,1,80000,1-комнатные апартаменты,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,?,Кирпично-монолитное здание,?,?,?,1,?,?,1,?,?,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672994674766/;
22,15,?,3/4,3,?,Площадь Александра Невского,8,38000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,?,Кирпичное здание,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8081516527663495936/;
27,?,?,2/13,"2,65",2021,Фрунзенская,8,43000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик RBI,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3386543874023228416/;
32,17,6,2/3,"2,55",1963,Академическая,5,25000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,1,?,?,1,12,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1463041861312795393/;
45,?,?,1/5,3,1862,Достоевская,5,55000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,4,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6990585595864041728/;
300,140,92,5/5,7,1903,Горьковская,4,200000,7-комнатная квартира,Отделка — дизайнерский ремонт,?,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,4,1,?,?,?,1,?,?,1,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4718420448825378049/;
156,70,14,6/6,3,1995,Площадь Александра Невского,9,400000,3-комнатная квартира,?,?,?,?,1,1,1,1,1,?,1,?,?,Кирпичное здание,1,1,1,1,10,?,?,?,1,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7756009979460223670/;
"44,9","30,2","7,1",4/5,"2,5",1965,Проспект Славы,10,35000,2-комнатная квартира,?,раздельный,?,?,?,1,?,1,1,?,1,?,?,Панельное здание,9,?,?,1,134,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227535735059716895/;
48,?,"6,5",7/12,?,1970,Старая Деревня,7,42000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,1,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,1,1,1,1,85,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/115792411650343424/;
16,12,?,15/18,"2,5",2023,Бухарестская,4,34000,апартаменты-студия,?,?,?,?,1,1,1,?,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259112181/;
23,20,?,8/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259142191/;
33,17,6,1/5,"2,5",1963,Старая Деревня,9,25000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,?,Кирпичное здание,2,?,?,1,40,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3304997566582287360/;
40,?,?,2/4,?,1860,Спасская,4,65000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,?,?,?,1,?,?,?,?,1,23,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4432904510799869903/;
80,60,12,3/5,"3,4",1806,Гостиный двор,7,95000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,?,1,1,?,1,?,1,Кирпичное здание,8,1,?,1,62,1,1,?,?,1,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8299957540961572854/;
60,45,15,12/17,"2,75",2012,Академическая,9,95000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,?,1,Застройщик Группа «Эталон»,1,Кирпично-монолитное здание,9,1,?,1,787,1,1,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672995866658/;
35,17,9,2/5,"2,8",1902,Обводный канал,6,45000,1-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,2,1,1,1,?,1,?,?,?,?,1,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6237281915329379329/;
59,35,14,3/6,"2,7",1902,Чкаловская,7,110000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,10,1,?,1,32,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665167899/;
12,8,?,1/6,4,1900,Технологический институт,7,32000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,2,?,?,1,25,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2685775471150820865/;
23,19,?,8/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337466/;
160,?,20,4/4,?,1892,Чернышевская,2,120000,4-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,3,?,?,1,13,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923616914750/;
19,?,?,2/5,3,2023,Пушкинская,5,48000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2164965350709813249/;
"49,2",16,?,8/14,3,2023,Фрунзенская,4,70000,апартаменты-студия,?,?,1,?,1,1,1,1,1,1,?,Застройщик Группа Аквилон,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7756009979460232347/;
46,30,7,6/10,?,1993,Звёздная,7,38000,2-комнатная квартира,?,раздельный,?,?,?,1,?,1,1,?,?,?,1,Панельное здание,11,1,1,1,457,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6277929468793712415/;
85,?,?,5/7,"3,69",1908,Маяковская,7,74000,3-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,3,1,?,1,14,?,?,?,?,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/789804613626423041/;
26,?,?,20/25,"2,74",?,Фрунзенская,8,49500,квартира-студия,Отделка — косметический ремонт,совмещённый,1,?,1,1,?,1,1,?,1,Застройщик Лидер Групп,1,?,6,1,?,1,?,?,?,?,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1550293554924071711/;
60,?,?,3/5,"3,4",1901,Площадь Восстания,6,75000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,5,?,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4093526101990509569/;
56,40,6,2/5,"3,3",1850,Невский проспект,7,70000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,1,1,?,1,?,?,?,?,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7471212182524421888/;
